,Brand,Ram,Processor,Storage,Screen Size,Operating System,Price
236,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
237,Lenovo,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,44990
238,DELL,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,40190
239,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,34990
240,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
241,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
242,ASUS,16,Intel Core i7 Processor,1 TB SSD,35.56,Windows 10,94990
243,Lenovo,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,69990
244,ASUS,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,59990
245,ASUS,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,66990
246,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
247,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
248,ASUS,16,Intel Core i7 Processor,512 GB SSD,33.78,Windows 11,104990
249,DELL,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,54900
250,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
251,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
252,Lenovo,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,40.64,Windows 11,136990
253,DELL,8,AMD Ryzen 5 Dual Core Processor,512 GB SSD,39.62,Windows 11,48184
254,ASUS,16,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,74990
255,acer,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,60990
256,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
257,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
258,HP,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,35.56,Windows 11,49990
259,DELL,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,67990
260,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
261,Lenovo,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,44990
262,Lenovo,8,Intel Core i5 Processor,512 GB SSD,35.56,Windows 10,58000
263,Infinix,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,29990
264,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,34.04,Windows 11,114990
265,HP,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,33990
266,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
267,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,196990
268,ASUS,16,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,64990
269,Lenovo,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,79990
270,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
271,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,85990
272,Infinix,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,28990
273,ASUS,8,AMD Ryzen 5 Dual Core Processor,512 GB SSD,39.62,Windows 11,56990
274,HP,16,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,33.78,Windows 11,81990
275,MSI,16,Intel Core i7 Processor,1 TB SSD,39.62,Windows 10,129990
276,Lenovo,8,AMD Ryzen 3 Dual Core Processor,512 GB SSD,39.62,Windows 11,35590
277,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,150990
278,DELL,8,AMD Ryzen 3 Dual Core Processor,1 TB HDD,39.62,Windows 10,38990
279,HP,16,AMD Ryzen 7 Octa Core Processor,"1 TB HDD, 256 GB SSD",39.62,Windows 10,79990
280,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
281,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
282,APPLE,8,Apple M2 Processor,512 GB SSD,34.54,Mac OS,139990
283,ASUS,16,Intel Core i7 Processor,1 TB SSD,43.94,Windows 11,109990
284,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,154990
285,Lenovo,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,62990
286,ASUS,16,AMD Ryzen 9 Octa Core Processor,1 TB SSD,39.62,Windows 11,194990
287,Lenovo,8,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,39.62,Windows 11,44990
288,ASUS,8,Intel Core i3 Processor,512 GB SSD,35.56,Windows 11,47990
289,DELL,8,AMD Ryzen 3 Quad Core Processor,512 GB SSD,39.62,Windows 11,43667
290,ASUS,16,AMD Ryzen 7 Octa Core Processor,1 TB SSD,39.62,Windows 11,135990
291,Lenovo,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,36990
292,ASUS,16,AMD Ryzen 7 Octa Core Processor,512 GB SSD,39.62,Windows 11,98990
293,Infinix,16,Intel Core i7 Processor,512 GB SSD,35.56,Windows 11,46990
294,ASUS,8,Intel Core i3 Processor,256 GB SSD,35.56,Windows 11,35990
295,Lenovo,8,Intel Core i3 Processor,512 GB SSD,39.62,Windows 11,39990
296,ASUS,16,Intel Core i7 Processor,1 TB SSD,43.94,Windows 11,109990
297,APPLE,8,Apple M2 Processor,512 GB SSD,34.54,Mac OS,139990
298,DELL,8,Intel Core i5 Processor,512 GB SSD,35.56,Windows 11,74770
299,RedmiBook,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,39990
300,HP,8,AMD Ryzen 3 Quad Core Processor,512 GB SSD,35.56,Windows 11,40799
301,ASUS,16,Intel Core i5 Processor,512 GB SSD,39.62,Windows 10,69490
302,ASUS,8,Intel Core i3 Processor,512 GB SSD,35.56,Windows 11,39990
303,Lenovo,8,AMD Ryzen 5 Quad Core Processor,512 GB SSD,39.62,Windows 11,38705
304,ASUS,16,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,33.78,Windows 11,99990
305,APPLE,16,Apple M1 Pro Processor,1 TB SSD,41.15,Mac OS,241990
306,acer,8,Intel Core i5 Processor,512 GB SSD,39.62,Windows 11,40990
